NAICS,2021,2023,delta,pct_change,share_2021,share_2023
926150,0.0,3.5275000000000003,3.5275000000000003,,0.0,5.062084905639102e-06
721120,0.0,3.5202805,3.5202805,,0.0,5.051724672619608e-06
561740,0.0,3.5,3.5,,0.0,5.022621451378271e-06
457210,0.0,3.4201163,3.4201163,,0.0,4.9079855698824244e-06
541214,5.775,3.3,-2.4750000000000005,-42.85714285714287,7.011197184995025e-06,4.735614511299513e-06
621991,1.8888500000000001,3.2965,1.4076499999999998,74.52418138020487,2.293177455043784e-06,4.7305918898481356e-06
92114,28.718,3.25,-25.468,-88.68305592311442,3.486537848635275e-05,4.663862776279823e-06
92313,4.525329,3.25,-1.2753290000000002,-28.182017263275227,5.494021462506727e-06,4.663862776279823e-06
321211,0.9293578,3.1875,2.2581422,242.97877523597475,1.1282962409027133e-06,4.574173107505212e-06
112390,0.0,3.15,3.15,,0.0,4.520359306240444e-06
48839,3.706,3.0100000000000002,-0.6959999999999997,-18.78035617916891,4.499306799582954e-06,4.319454448185314e-06
81293,0.0,3.0,3.0,,0.0,4.305104101181376e-06
23899,1.325,2.8994999999999997,1.5744999999999998,118.83018867924527,1.6086296571633605e-06,4.1608831137918e-06
424610,8.6399913,2.796,-5.843991300000001,-67.63885630301503,1.0489468862500693e-05,4.0123570223010415e-06
48321,0.0,2.75,2.75,,0.0,3.946345426082928e-06
611699,0.0,2.7,2.7,,0.0,3.874593691063238e-06
111310,0.0,2.6950916,2.6950916,,0.0,3.867549966739826e-06
611430,11.21,2.48,-8.73,-77.87689562890276,1.360961392966134e-05,3.5588860569766037e-06
56172,0.0,2.4583064,2.4583064,,0.0,3.5277549882001417e-06
334310,5.8140031,2.3978315,-3.4161715999999998,-58.75765012921992,7.058549293207333e-06,3.4409714081972966e-06
334118,0.095,2.3967131,2.3017130999999997,2422.8558947368415,1.1533571126831642e-07,3.4393664653883763e-06
23814,0.0,2.3769808,2.3769808,,0.0,3.411049930169796e-06
71212,0.0,2.3417727,2.3417727,,0.0,3.360525084934861e-06
237130,10.841999999999999,2.337377,-8.504622999999999,-78.44145914038,1.3162839806011435e-05,3.35421710290234e-06
525990,2.3993119,2.3348,-0.06451189999999984,-2.68876672515982,2.9129088899056384e-06,3.3505190184794254e-06
23711,1267.2390762,2.3,-1264.9390762,-99.81850307150432,0.0015385044231634867,3.3005798109057213e-06
311111,0.0,2.2661286,2.2661286,,0.0,3.2519731765548032e-06
111334,0.1875,2.05,1.8624999999999998,993.3333333333331,2.2763627224009818e-07,2.9418211358072733e-06
488111,75.3275,2.01478,-73.31272,-97.32530616308784,9.145211358488532e-05,2.891279213659404e-06
71391,0.0,1.98,1.98,,0.0,2.841368706779708e-06
922110,1.71,1.974,0.264,15.43859649122807,2.0760428028296956e-06,2.8327584985773455e-06
925120,3.575,1.9595,-1.6155000000000002,-45.18881118881119,4.340264924044539e-06,2.8119504954216352e-06
42392,76.58,1.932652,-74.647348,-97.4762966832071,9.297272388344917e-05,2.7734226837854628e-06
311612,3.781,1.9078399,-1.8731601000000002,-49.54139381116107,4.590361308478994e-06,2.737816459295822e-06
81311,0.0,1.875,1.875,,0.0,2.69069006323836e-06
32111,0.0,1.75,1.75,,0.0,2.5113107256891357e-06
31521,0.825,1.7,0.875,106.06060606060606,1.001599597856432e-06,2.439558990669446e-06
62121,0.0,1.6675,1.6675,,0.0,2.392920362906648e-06
51921,0.0,1.641,1.641,,0.0,2.3548919433462126e-06
623311,0.0,1.5170409,1.5170409,,0.0,2.1770063334166285e-06
238290,0.0,1.516865,1.516865,,0.0,2.176753910812829e-06
111332,0.0,1.5075,1.5075,,0.0,2.1633148108436413e-06
52519,0.5135,1.5034999999999998,0.9899999999999999,192.79454722492696,6.234198709082155e-07,2.1575746720420657e-06
522110,0.0,1.45,1.45,,0.0,2.080800315570998e-06
924120,3.7,1.3600719000000001,-2.3399281,-63.24129999999999,4.492022438871271e-06,1.9517503715305155e-06
32191,13.4405,1.355,-12.0855,-89.91852981659908,1.6317575024229546e-05,1.944472019033588e-06
33661,29.708000000000002,1.35,-28.358,-95.45576948969973,3.606729800378047e-05,1.937296845531619e-06
53211,0.8812799,1.3114445000000001,0.4301646000000001,48.81134813128044,1.069926779926008e-06,1.8819683651405866e-06
212319,0.0,1.3105,1.3105,,0.0,1.8806129748660644e-06
92112,0.0,1.2950024,1.2950024,,0.0,1.8583733810932414e-06
42311,0.0,1.27,1.27,,0.0,1.8224940695001157e-06
72131,1.2,1.25,0.050000000000000044,4.1666666666666705,1.4568721423366284e-06,1.79379337549224e-06
33637,291.8133,1.2425,-290.5708,-99.57421406083958,0.00035427888961110106,1.7830306152392863e-06
111421,0.0,1.1545,1.1545,,0.0,1.6567475616046329e-06
81112,0.2,1.1535315,0.9535315,476.76574999999997,2.428120237227714e-07,1.6553577304973013e-06
441227,0.0,1.15076,1.15076,,0.0,1.6513805318251598e-06
33231,19.8449886,1.15,-18.694988600000002,-94.2050861142848,2.409300921360664e-05,1.6502899054528607e-06
423730,0.650511,1.1202026,0.4696916000000001,72.2034831078952,7.897594618196187e-07,1.6075296024713468e-06
312140,17.5759128,1.1165345,-16.4593783,-93.64735981166224,2.133821477871481e-05,1.6022657516868322e-06
56173,0.0,1.1057339,1.1057339,,0.0,1.586766515901759e-06
92812,7.835,1.1,-6.734999999999999,-85.96043395022335,9.51216102933957e-06,1.5785381704331714e-06
48721,0.521415,0.9875,0.4660850000000001,89.38849093332568,6.330291567470442e-07,1.4170967666388696e-06
541860,0.0,0.95,0.95,,0.0,1.3632829653741023e-06
923110,1.5745,0.9255,-0.649,-41.219434741187676,1.9115376567575177e-06,1.3281246152144544e-06
111998,247.70000000000002,0.7960094,-246.90399060000001,-99.67863972547435,0.0003007226913806524,1.142301110839642e-06
712120,0.0,0.75,0.75,,0.0,1.076276025295344e-06
44112,0.0,0.6966260000000001,0.6966260000000001,,0.0,9.996824831965259e-07
